,Sex,Age,Height,Weight,Duration,Heart_Rate,Body_Temp
71916,1,40,182.0,87.0,26.0,107.0,40.8
43137,1,50,169.0,71.0,26.0,103.0,40.9
66647,1,54,164.0,62.0,19.0,101.0,40.5
21351,1,42,202.0,103.0,25.0,97.0,40.9
68289,1,25,186.0,93.0,14.0,98.0,40.1
6814,0,34,156.0,58.0,26.0,104.0,41.0
32133,0,43,168.0,67.0,4.0,78.0,38.9
65585,0,29,179.0,72.0,23.0,92.0,41.2
28156,1,26,188.0,89.0,28.0,110.0,40.5
41738,0,73,164.0,57.0,24.0,103.0,40.8
9733,1,48,184.0,87.0,11.0,94.0,40.0
21276,0,23,166.0,64.0,15.0,98.0,40.4
69534,1,59,191.0,93.0,25.0,104.0,40.9
3305,1,42,196.0,101.0,13.0,96.0,40.3
23516,0,29,168.0,67.0,22.0,100.0,40.7
32909,0,50,159.0,57.0,28.0,101.0,40.9
14812,0,55,148.0,53.0,18.0,100.0,40.3
27202,0,23,170.0,65.0,7.0,87.0,39.5
21,1,54,170.0,77.0,25.0,111.0,40.7
762,0,37,179.0,75.0,26.0,111.0,40.8
33595,1,22,169.0,76.0,9.0,89.0,39.8
36861,0,32,159.0,60.0,18.0,96.0,40.7
5680,1,42,181.0,81.0,14.0,93.0,39.9
50308,0,28,172.0,69.0,15.0,97.0,40.1
55377,1,69,179.0,83.0,29.0,114.0,40.9
43081,1,20,176.0,77.0,23.0,100.0,40.6
73547,0,54,158.0,54.0,14.0,95.0,40.1
61055,0,50,162.0,60.0,11.0,89.0,40.2
64252,0,46,180.0,81.0,4.0,86.0,38.7
41659,0,33,181.0,86.0,19.0,100.0,40.7
1972,1,75,177.0,82.0,20.0,102.0,40.7
61644,0,54,175.0,68.0,5.0,87.0,39.1
63717,1,52,189.0,90.0,6.0,87.0,39.4
29244,0,58,160.0,67.0,8.0,91.0,39.7
2030,1,40,182.0,83.0,8.0,90.0,39.7
74692,1,54,190.0,93.0,13.0,97.0,40.2
810,1,54,182.0,86.0,28.0,110.0,40.9
18998,1,25,196.0,102.0,2.0,81.0,38.4
63200,0,42,168.0,64.0,18.0,102.0,40.4
11921,0,23,156.0,56.0,17.0,95.0,40.3
46585,0,38,164.0,64.0,7.0,79.0,39.4
60247,0,21,153.0,53.0,20.0,106.0,40.7
55335,1,42,187.0,88.0,15.0,92.0,40.2
41083,1,50,181.0,85.0,8.0,89.0,39.6
42663,0,24,162.0,60.0,5.0,91.0,39.1
70086,1,51,187.0,93.0,24.0,99.0,40.7
33745,0,28,162.0,66.0,7.0,86.0,39.3
33030,1,24,195.0,94.0,2.0,81.0,38.1
62462,0,59,161.0,60.0,15.0,93.0,40.3
62762,1,39,184.0,82.0,7.0,90.0,39.3
66353,0,47,169.0,75.0,18.0,96.0,40.5
52971,1,20,182.0,90.0,13.0,92.0,40.0
25640,0,72,176.0,76.0,23.0,88.0,40.4
26448,0,32,161.0,60.0,15.0,98.0,40.9
70380,0,22,173.0,70.0,14.0,96.0,40.3
61838,0,49,173.0,71.0,11.0,95.0,39.7
30789,1,59,184.0,93.0,27.0,110.0,40.7
63660,1,61,178.0,85.0,6.0,85.0,39.1
66220,1,54,192.0,96.0,6.0,86.0,39.1
41969,1,21,180.0,80.0,16.0,95.0,40.2
16416,1,32,188.0,94.0,18.0,89.0,40.3
74073,1,33,185.0,84.0,16.0,93.0,40.3
65541,1,37,184.0,83.0,27.0,103.0,40.8
35817,0,69,169.0,70.0,21.0,94.0,40.8
68517,1,32,202.0,104.0,14.0,96.0,40.1
38295,1,58,186.0,85.0,7.0,82.0,39.6
35091,1,28,181.0,88.0,28.0,104.0,41.0
20330,0,64,165.0,65.0,18.0,99.0,40.5
217,0,30,167.0,62.0,11.0,93.0,40.0
64916,1,21,187.0,96.0,25.0,106.0,40.8
66751,0,35,163.0,62.0,13.0,91.0,40.1
65192,1,26,194.0,96.0,16.0,97.0,40.4
59047,1,29,189.0,96.0,24.0,101.0,40.9
32153,1,35,191.0,97.0,2.0,92.0,38.0
18350,0,32,174.0,70.0,28.0,105.0,41.0
34888,1,73,171.0,80.0,28.0,110.0,40.7
60370,0,26,160.0,60.0,7.0,86.0,39.5
5990,1,48,190.0,88.0,3.0,86.0,38.8
69933,0,64,161.0,64.0,23.0,111.0,40.5
64162,0,41,169.0,70.0,29.0,107.0,41.2
57922,1,20,183.0,79.0,15.0,100.0,40.4
40070,0,29,161.0,61.0,9.0,89.0,39.9
55712,1,52,190.0,90.0,14.0,95.0,40.0
62764,0,52,153.0,56.0,10.0,98.0,39.7
64007,0,50,162.0,63.0,2.0,94.0,38.2
66558,0,43,157.0,54.0,3.0,73.0,38.6
52120,1,30,178.0,78.0,28.0,105.0,41.1
22667,0,48,178.0,77.0,16.0,97.0,40.5
6230,1,50,199.0,104.0,5.0,84.0,39.3
18573,0,55,167.0,65.0,17.0,101.0,40.2
36071,0,40,161.0,56.0,14.0,98.0,40.2
32248,1,27,180.0,77.0,25.0,105.0,40.5
22506,0,50,161.0,58.0,20.0,90.0,40.7
55348,1,55,201.0,102.0,29.0,110.0,40.9
50703,0,22,152.0,51.0,13.0,95.0,40.1
52667,1,21,187.0,92.0,18.0,102.0,40.8
56334,0,34,168.0,63.0,18.0,95.0,40.7
27834,0,31,177.0,71.0,30.0,114.0,41.0
57099,1,62,188.0,93.0,5.0,90.0,39.2
66293,1,59,182.0,87.0,20.0,90.0,40.5
65205,1,38,176.0,82.0,10.0,85.0,39.9
11298,0,37,154.0,55.0,2.0,83.0,38.2
46243,0,24,159.0,54.0,8.0,90.0,39.8
55888,0,58,188.0,82.0,14.0,105.0,40.4
27910,0,51,170.0,71.0,1.0,82.0,37.8
8606,0,57,156.0,57.0,27.0,107.0,40.8
58384,1,53,180.0,82.0,15.0,99.0,39.9
17151,1,41,182.0,81.0,16.0,93.0,40.2
8435,1,28,189.0,87.0,4.0,81.0,38.9
48323,1,35,169.0,78.0,21.0,103.0,40.5
59596,0,29,157.0,54.0,16.0,95.0,40.3
25782,1,47,178.0,78.0,10.0,93.0,39.8
1156,1,56,203.0,99.0,11.0,89.0,40.0
18957,1,20,193.0,102.0,15.0,99.0,40.3
61384,0,65,164.0,63.0,6.0,82.0,39.1
37144,1,45,182.0,88.0,3.0,80.0,38.7
44997,1,52,193.0,98.0,7.0,85.0,39.4
15794,1,60,183.0,89.0,13.0,92.0,40.0
45947,1,62,187.0,88.0,8.0,86.0,39.7
41441,0,38,163.0,64.0,9.0,93.0,40.1
71833,0,29,171.0,66.0,6.0,80.0,39.1
6925,0,77,176.0,70.0,17.0,102.0,40.4
29034,1,23,190.0,90.0,15.0,88.0,40.2
4982,1,21,199.0,99.0,14.0,95.0,40.1
4171,0,75,158.0,61.0,8.0,86.0,39.9
67643,0,26,176.0,74.0,10.0,95.0,39.9
54260,1,20,175.0,75.0,17.0,101.0,40.2
19219,1,20,179.0,83.0,21.0,103.0,40.3
21757,1,42,180.0,83.0,11.0,96.0,39.9
68644,0,28,164.0,65.0,27.0,106.0,40.6
28983,0,50,177.0,78.0,25.0,99.0,40.8
13066,1,60,172.0,73.0,26.0,110.0,40.7
55397,1,48,193.0,99.0,13.0,96.0,40.3
25153,1,57,188.0,96.0,19.0,92.0,40.6
46285,1,24,191.0,91.0,25.0,105.0,40.8
5996,1,61,173.0,74.0,25.0,102.0,40.8
21286,1,46,182.0,82.0,18.0,102.0,40.3
19621,0,32,165.0,61.0,14.0,99.0,40.3
49031,1,20,184.0,89.0,9.0,89.0,39.7
49822,1,31,165.0,67.0,6.0,89.0,39.1
21239,0,48,163.0,61.0,25.0,103.0,40.5
68451,0,21,169.0,64.0,14.0,94.0,40.3
51947,0,20,161.0,56.0,27.0,109.0,40.7
53191,1,43,178.0,80.0,11.0,96.0,39.6
3402,1,28,180.0,83.0,30.0,114.0,40.8
29957,0,45,157.0,57.0,25.0,107.0,40.9
10013,0,48,178.0,72.0,7.0,84.0,39.5
52990,1,38,192.0,93.0,22.0,102.0,40.5
10554,0,22,155.0,54.0,7.0,83.0,39.6
20083,0,26,162.0,64.0,21.0,91.0,40.4
14137,1,73,182.0,89.0,23.0,99.0,40.8
57140,1,52,201.0,102.0,8.0,91.0,39.6
67662,1,21,181.0,84.0,21.0,97.0,40.9
61297,1,31,177.0,76.0,26.0,112.0,40.9
43329,0,64,182.0,83.0,28.0,98.0,40.2
47271,0,26,166.0,60.0,25.0,104.0,40.7
613,1,68,196.0,98.0,24.0,107.0,40.6
35210,1,20,175.0,77.0,19.0,102.0,40.7
32932,1,35,199.0,104.0,8.0,76.0,39.7
48019,0,20,164.0,63.0,5.0,78.0,39.1
46966,0,48,173.0,72.0,10.0,95.0,39.7
74224,0,47,172.0,68.0,8.0,83.0,39.9
69821,0,40,156.0,63.0,11.0,91.0,40.3
8690,0,29,163.0,61.0,25.0,108.0,41.0
2830,0,36,191.0,79.0,10.0,90.0,39.8
61399,0,51,169.0,64.0,15.0,86.0,40.4
56706,1,43,182.0,86.0,10.0,98.0,39.8
69313,1,50,182.0,84.0,24.0,117.0,40.7
68120,1,62,187.0,94.0,17.0,92.0,40.3
2855,1,55,187.0,91.0,15.0,100.0,40.5
39965,1,64,195.0,102.0,26.0,102.0,40.8
11329,0,59,155.0,59.0,2.0,83.0,38.5
72500,0,20,158.0,58.0,22.0,105.0,40.9
33839,1,21,205.0,103.0,15.0,93.0,39.8
21588,0,60,173.0,68.0,3.0,79.0,38.5
69200,0,40,166.0,60.0,17.0,96.0,40.4
45130,1,50,172.0,81.0,19.0,99.0,40.6
5876,0,56,159.0,59.0,23.0,97.0,40.8
13035,1,48,191.0,99.0,16.0,92.0,40.6
56308,0,21,154.0,55.0,28.0,105.0,40.8
58708,0,61,163.0,62.0,20.0,93.0,40.7
12208,1,54,192.0,93.0,18.0,98.0,40.7
6181,0,23,164.0,60.0,15.0,88.0,40.1
40881,1,48,192.0,91.0,5.0,81.0,39.1
36621,1,33,197.0,96.0,1.0,88.0,37.8
2538,0,27,150.0,51.0,28.0,110.0,40.8
38755,1,38,179.0,79.0,11.0,86.0,40.1
65529,1,21,191.0,90.0,25.0,98.0,40.7
11453,1,51,185.0,87.0,5.0,82.0,39.3
50306,0,44,180.0,83.0,21.0,105.0,40.8
63604,0,48,158.0,61.0,13.0,83.0,40.3
53885,1,62,192.0,97.0,7.0,83.0,39.6
9960,0,65,158.0,57.0,15.0,87.0,40.0
37590,0,40,162.0,64.0,14.0,89.0,40.1
71022,1,48,179.0,79.0,10.0,95.0,39.8
16000,1,41,182.0,88.0,26.0,107.0,40.4
33610,0,38,168.0,65.0,8.0,90.0,39.5
25796,1,24,162.0,67.0,20.0,99.0,40.4
53692,0,73,168.0,69.0,8.0,81.0,39.8
58561,1,37,177.0,75.0,19.0,99.0,40.5
8944,1,32,174.0,78.0,9.0,83.0,39.8
44259,1,75,206.0,103.0,17.0,103.0,40.7
4119,1,60,187.0,98.0,25.0,105.0,40.9
26388,0,22,173.0,65.0,6.0,83.0,39.3
55266,0,59,169.0,70.0,12.0,93.0,40.2
51010,0,31,169.0,67.0,24.0,109.0,40.7
42572,1,60,198.0,93.0,13.0,88.0,40.3
50761,0,33,171.0,66.0,17.0,96.0,40.5
36340,0,44,167.0,68.0,15.0,95.0,40.4
59157,0,63,166.0,64.0,21.0,102.0,40.6
15306,1,56,181.0,81.0,6.0,90.0,39.1
61196,1,58,183.0,88.0,5.0,86.0,39.2
22645,0,55,166.0,66.0,8.0,88.0,39.6
2789,1,42,206.0,101.0,7.0,89.0,39.6
14597,1,51,180.0,79.0,23.0,100.0,40.6
74895,0,68,155.0,57.0,4.0,84.0,39.1
3128,0,33,179.0,72.0,1.0,85.0,38.0
55121,0,32,163.0,62.0,19.0,99.0,40.5
72844,1,26,174.0,79.0,28.0,100.0,40.7
5251,1,73,174.0,78.0,26.0,102.0,40.7
64128,0,49,188.0,76.0,19.0,101.0,40.3
56433,1,33,167.0,78.0,26.0,112.0,40.6
5218,0,42,163.0,61.0,10.0,92.0,39.7
43120,0,30,170.0,66.0,13.0,91.0,40.1
63245,0,64,150.0,51.0,6.0,85.0,39.5
70692,0,77,173.0,72.0,5.0,83.0,39.4
61700,0,41,162.0,60.0,12.0,101.0,40.1
43593,0,25,173.0,66.0,21.0,102.0,40.4
61988,1,50,182.0,87.0,25.0,96.0,40.7
62836,1,52,190.0,98.0,14.0,86.0,40.2
989,0,61,166.0,62.0,26.0,105.0,40.7
38856,1,29,179.0,81.0,22.0,103.0,40.4
59329,0,38,173.0,70.0,2.0,91.0,38.3
59118,1,69,181.0,83.0,29.0,111.0,41.0
59701,1,52,190.0,93.0,9.0,89.0,39.7
2510,1,44,174.0,78.0,22.0,102.0,40.3
17366,1,44,199.0,94.0,29.0,111.0,40.7
30260,0,75,158.0,61.0,21.0,108.0,40.7
48507,1,34,192.0,93.0,13.0,92.0,39.9
15716,0,24,152.0,51.0,6.0,85.0,39.2
70909,0,21,160.0,57.0,7.0,81.0,39.5
72520,0,66,162.0,64.0,12.0,93.0,39.9
34632,0,26,170.0,66.0,12.0,92.0,39.9
67692,1,50,178.0,81.0,26.0,99.0,40.9
47613,1,52,185.0,88.0,5.0,79.0,39.5
7191,0,20,171.0,65.0,2.0,79.0,38.0
